PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Gardner Minshew,QB,ARI,LAC,381,47.5,9,19.25,4100,0,0,0
Hayden Large,TE,CHI,CAR,-175,47,-3,25,2500,0,0,0
Joe Flacco,QB,CIN,TB,-206,50.5,-3.5,27,4400,0,0,0
Corey Rucker,WR,LV,MIA,-171,40,-3,21.5,3000,0,0,0
Rocco Underwood,TE,PHI,WAS,-246,44.5,-5.5,25,2500,0,0,0
CJ Williams,WR,JAX,CLE,-443,40,-8.5,24.25,3000,0,0,0
Jordyn Tyson,WR,NO,DET,260,50,7,21.5,5100,0,0,0
Joshua Dobbs,QB,DET,NO,-329,50,-7,28.5,4000,0,0,0
Kendrick Law,WR,DET,NO,-329,50,-7,28.5,3000,0,0,0
Jeremy McNichols,RB,WAS,PHI,202,44.5,5.5,19.5,4300,0,0,0
Taylen Green,QB,CLE,JAX,331,40,8.5,15.75,4000,0,0,0
Zach Wilson,QB,NO,DET,260,50,7,21.5,4000,0,0,0
Tyrod Taylor,QB,GB,MIN,100,46.5,1.5,22.5,4000,0,0,0
Laquon Treadwell,WR,IND,BAL,149,47.5,3.5,22,3000,0,0,0
Tyler Conklin,TE,DET,NO,-329,50,-7,28.5,2500,0,0,0
Joe Royer,TE,CLE,JAX,331,40,8.5,15.75,2500,0,0,0
Carsen Ryan,TE,CLE,JAX,331,40,8.5,15.75,2500,0,0,0
Ty Johnson,RB,BUF,HOU,-121,45,-1.5,23.25,4200,0,0,0
Fernando Mendoza,QB,LV,MIA,-171,40,-3,21.5,5000,0,0,0
Mason Rudolph,QB,PIT,ATL,-266,41,-6,23.5,4000,0,0,0
DJ Herman,RB,MIA,LV,142,40,3,18.5,4000,0.13,0,0
Moliki Matavao,TE,NO,DET,260,50,7,21.5,2500,0,0,0
Brady Cook,QB,MIA,LV,142,40,3,18.5,4000,0,0,0
Elijah Moore,WR,PHI,WAS,-246,44.5,-5.5,25,3000,0,0,0
Tank Dell,WR,HOU,BUF,100,45,1.5,21.75,3700,0,0,0
Luke McCaffrey,WR,WAS,PHI,202,44.5,5.5,19.5,3500,0,0,0
Colson Yankoff,TE,WAS,PHI,202,44.5,5.5,19.5,2500,0,0,0
Will Mallory,TE,IND,BAL,149,47.5,3.5,22,2500,0,0,0
Chris Collier,RB,LV,MIA,-171,40,-3,21.5,4000,0,0,0
Johnny Wilson,WR,PHI,WAS,-246,44.5,-5.5,25,3000,0,0,0
Anthony Richardson,QB,IND,BAL,149,47.5,3.5,22,4900,0,0,0
Jared Wayne,WR,HOU,BUF,100,45,1.5,21.75,3000,0,0,0
E.J. Jenkins,TE,PHI,WAS,-246,44.5,-5.5,25,2500,0,0,0
Thomas Yassmin,TE,GB,MIN,100,46.5,1.5,22.5,2500,0,0,0
Scott Matlock,RB,LAC,ARI,-510,47.5,-9,28.25,4000,0,0,0
Ko Kieft,TE,TB,CIN,169,50.5,3.5,23.5,2500,0.05,0,0
Jackson Meeks,WR,DET,NO,-329,50,-7,28.5,3000,0,0,0
Raheim Sanders,RB,CLE,JAX,331,40,8.5,15.75,4000,0.11,0,0
Kenny Pickett,QB,CAR,CHI,145,47,3,22,4000,0,0,0
Kyle McCord,QB,MIA,LV,142,40,3,18.5,4000,0,0,0
William Wagner,TE,CIN,TB,-206,50.5,-3.5,27,2500,0,0,0
Ryan Miller,WR,MIA,LV,142,40,3,18.5,3000,0,0,0
Brycen Tremayne,WR,CAR,CHI,145,47,3,22,3000,0.01,0,0
