PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Harrison Mevis,UT,LAR,SF,-205,48.5,-3.5,26,5000,8.79,1.8,16.4
Eddy Pineiro,UT,SF,LAR,169,48.5,3.5,22.5,4800,8.03,1.7,20.3
Jordan James,UT,SF,LAR,169,48.5,3.5,22.5,2000,1.71,0.9,1
Tyler Higbee,UT,LAR,SF,-205,48.5,-3.5,26,2600,2.07,0.8,14
Demarcus Robinson,UT,SF,LAR,169,48.5,3.5,22.5,3800,2.83,0.7,3
Konata Mumpfield,UT,LAR,SF,-205,48.5,-3.5,26,1200,0.87,0.7,8.7
Kaelon Black,UT,SF,LAR,169,48.5,3.5,22.5,3000,1.94,0.6,1
Jake Tonges,UT,SF,LAR,169,48.5,3.5,22.5,4400,2.18,0.5,5
Ronnie Rivers,UT,LAR,SF,-205,48.5,-3.5,26,400,0.16,0.4,1
Luke Farrell,UT,SF,LAR,169,48.5,3.5,22.5,1800,0.63,0.3,1
Jordan Whittington,UT,LAR,SF,-205,48.5,-3.5,26,2800,0.63,0.2,2
Jordan Watkins,UT,SF,LAR,169,48.5,3.5,22.5,2200,0.22,0.1,0.5
Tutu Atwell,UT,LAR,SF,-205,48.5,-3.5,26,2400,0.11,0.1,1
Jacob Cowing,UT,SF,LAR,169,48.5,3.5,22.5,1000,0.02,0,0.3
Isaac Guerendo,UT,SF,LAR,169,48.5,3.5,22.5,200,0,0,0
Mac Jones,UT,SF,LAR,169,48.5,3.5,22.5,6000,0,0,0
Kurtis Rourke,UT,SF,LAR,169,48.5,3.5,22.5,6000,0,0,0
Christian Kirk,UT,SF,LAR,169,48.5,3.5,22.5,200,0,0,0
Stetson Bennett,UT,LAR,SF,-205,48.5,-3.5,26,6000,0,0,0
Brandon Aiyuk,UT,SF,LAR,169,48.5,3.5,22.5,200,0,0,0
Ty Simpson,UT,LAR,SF,-205,48.5,-3.5,26,6000,0,0,0
Matthew Caldwell,UT,LAR,SF,-205,48.5,-3.5,26,6000,0,0,0
Ricky Pearsall,UT,SF,LAR,169,48.5,3.5,22.5,200,0,0,0
