Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Proj Pass Comp,Proj Pass Att,Proj Comp %,Proj Pass Yds,Proj Pass AVG,Proj Pass Long,Proj Pass TDs,Proj INT,Proj Passer Rating,Proj Rush Att,Proj Rush Yds,Proj Rush AVG,Proj Rush Long,Proj Rush TDs,Proj Rec,Proj Targets,Proj Rec Yds,Proj Rec AVG,Proj Rec Long,Proj Rec TDs,Proj Anytime TD,Proj Fumbles,Proj Fumbles Lost,Proj FG,Proj PAT,Proj Kick Pts
Denzel Boston,WR,CLE,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",4400,43727715,5.14,6.43,1.17,13.2,,,4.5,,,,,2.5,https://dkn.gs/sports/images/nfl/players/50/954152.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.38,4,24.5,10.29,12.5,,0.16,,,,,
Denzel Boston,WR,CLE,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",4400,44070008,5.14,6.43,1.17,13.2,,,4.5,,,,,2.5,https://dkn.gs/sports/images/nfl/players/50/954152.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.38,4,24.5,10.29,12.5,,0.16,,,,,
Gunnar Helm,TE,TEN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),4200,44082156,5.24,6.42,1.25,12.6,,,7.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/886167.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.72,3.5,22.5,8.27,12.5,,0.15,,,,,
Greg Dulcich,TE,MIA,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",3500,43728247,5.63,6.41,1.61,10.5,,,6.5,,,,,3.5,https://dkn.gs/sports/images/nfl/players/50/640913.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.67,3.5,26.5,9.93,14.5,,0.16,,,,,
Chuba Hubbard,RB,CAR,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),7400,44081837,2.4,6.36,0.32,22.2,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/560815.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,,,,,,,0.4,,,,,
Broncos,DST,DEN,Classic,9/14/2026,"Classic 9/9 8:20PM, 16 Games",2900,44038964,5.7,6.3,1.97,8.7,,,,,,,,,https://dkn.gs/sports/images/nfl/teams/50/18342.png,,,,,,,9/14/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,CPT,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),4800,44080791,4.74,6.29,0.99,14.4,,,4.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/886170.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,1.94,3,24.5,12.63,15.81,,0.17,,,,,
Colby Parkinson,TE,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),3600,44080735,5.39,6.26,1.5,10.8,,,5.5,,,,,5.5,https://dkn.gs/sports/images/nfl/players/50/485562.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,2.38,3,20.5,8.61,,,0.16,,,,,
Cole Kmet,CPT,CHI,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),6600,44081899,3.64,6.23,0.55,19.8,,,4.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/485483.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.84,2.5,14.5,7.88,9.88,,0.17,,,,,
Jauan Jennings,WR,MIN,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",4300,43727721,4.96,6.23,1.15,12.9,,,4.5,,,,,3.5,https://dkn.gs/sports/images/nfl/players/50/485641.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.24,3.5,21.87,9.76,13.5,,0.21,,,,,
Texans,DST,HOU,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",2900,43728534,5.6,6.22,1.93,8.7,,,,,,,,,https://dkn.gs/sports/images/nfl/teams/50/18500.png,,,,,,,9/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,DST,HOU,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",2900,44070418,5.6,6.22,1.93,8.7,,,,,,,,,https://dkn.gs/sports/images/nfl/teams/50/18500.png,,,,,,,9/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,TE,LAR,Classic,9/10/2026,"Classic 9/9 8:20PM, 16 Games",3500,44038625,5.39,6.21,1.54,10.5,,,5.5,,,,,5.5,https://dkn.gs/sports/images/nfl/players/50/485562.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,2.38,3,20.5,8.61,,,0.16,,,,,
Evan Engram,TE,DEN,Classic,9/14/2026,"Classic 9/9 8:20PM, 16 Games",3400,44038635,5.4,6.17,1.59,10.2,,,7.5,,,,,6,https://dkn.gs/sports/images/nfl/players/50/19095.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/14/2026,,,,,,,,,,,,,,,2.86,3.5,22.71,7.94,11.5,,0.15,,,,,
Rashod Bateman,WR,BAL,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",3900,43727741,5.11,6.16,1.31,11.7,,,0.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/560534.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.08,3.5,25.5,12.26,,,0.2,,,,,
Rashod Bateman,WR,BAL,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",3900,44070024,5.11,6.16,1.31,11.7,,,0.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/560534.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.08,3.5,25.5,12.26,,,0.2,,,,,
Rashod Bateman,WR,BAL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),3800,44081745,5.11,6.12,1.34,11.4,,,0.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/560534.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.08,3.5,25.5,12.26,,,0.2,,,,,
Chris Rodriguez Jr.,RB,JAX,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",5100,43727385,4.53,6.11,0.89,15.3,,13.5,1.5,,,,,4,https://dkn.gs/sports/images/nfl/players/50/706670.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,0,,,,,,8.65,33.5,3.87,,0.42,0.5,1,1.5,3,2.5,0,0.34,,,,,
